home_team,away_team,elo_diff,elo_home,elo_away,win_rate_diff,goals_scored_diff,goals_conceded_diff,last_10_points_diff,tournament_win_rate_diff,squad_rating_diff,gk_rating_diff,def_rating_diff,mid_rating_diff,fwd_rating_diff,squad_depth_diff,market_value_diff_log,injured_diff,neutral_venue,home_is_host,away_is_host,same_confederation,combined_wc_experience,h2h_home_win_rate,h2h_recent_goal_diff,h2h_match_count
South Africa,Mexico,-157.37287227667343,1631.2791217953445,1788.651994072018,-0.037519638317272785,0.1676663259239688,0.03852731831067713,-8,-0.21884346959122636,-0.7155434782608712,-0.33949999999999925,-0.855224999999999,-0.7129749999999992,-0.26250000000000107,0.09266166007905063,-1.1663743653628131,0,1,0,1,0,20,0.5,0.0,0
South Africa,South Korea,-134.94736852574647,1631.2791217953445,1766.226490321091,-0.09151019976393837,-0.17824936538913794,-0.15994684326358666,-5,-0.08403954802259883,-0.4670260869565235,0.13560000000000016,-0.6936499999999999,-0.6954749999999992,-0.3627333333333347,-0.07531936758893032,-1.2854337240886302,0,1,0,0,0,14,0.5,0.0,0
South Africa,Czechia,38.0598970120941,1631.2791217953445,1593.2192247832504,-0.014305935397908809,-0.3411229596763965,-0.2476064112437908,-1,0.2076271186440678,-0.5459521739130446,-0.3611000000000004,-0.9399999999999995,-0.9237999999999991,-0.05166666666666764,-0.19170237154150094,-1.536748150101964,0,1,0,0,0,12,0.5,0.0,0
South Africa,Canada,-116.32633859159591,1631.2791217953445,1747.6054603869404,0.016911603865649105,0.0888581073356205,0.11051822724965632,-4,0.07831677381648161,-0.38439130434782776,-0.25039999999999996,-0.3173249999999994,-0.37867499999999943,-0.7413333333333352,-0.02829960474308102,-1.238427682203806,0,1,0,1,0,5,0.5,0.0,0
South Africa,Switzerland,-74.97703016899959,1631.2791217953445,1706.256151964344,0.029020608748461407,-0.3812807944142127,-0.20746058840349302,1,0.12429378531073448,-1.0444956521739144,-1.3577999999999992,-0.9851499999999991,-1.1197000000000008,-0.8132333333333346,0.028095652173915298,-1.9527396684962106,0,1,0,0,0,15,0.5,0.0,0
South Africa,Qatar,72.68243859800032,1631.2791217953445,1558.5966831973442,0.112187402283706,0.15011518535815593,-0.6685440299191661,5,-0.03216879972327913,0.34916956521739007,0.06510000000000016,0.18082500000000046,0.5217499999999999,0.48196666666666577,-0.03741501976284489,0.6305708830677723,0,1,0,0,0,4,0.5,0.0,0
South Africa,Bosnia and Herzegovina,168.15830183470462,1631.2791217953445,1463.12081996064,0.129372864632386,0.061786791998634794,-0.5849521965197171,-2,0.4576271186440678,-0.3278565217391325,-0.6541999999999994,-0.7127250000000007,-0.2430500000000002,-0.1009666666666682,-0.10677075098814015,-1.3155867619562258,0,1,0,0,0,4,0.5,0.0,0
South Africa,Brazil,-134.56628790706532,1631.2791217953445,1765.8454097024098,-0.04483090333678508,-0.25076188453410775,-0.054133323583350434,2,-0.10903954802259885,-0.9793434782608692,-0.783199999999999,-0.9957499999999992,-0.6125250000000007,-1.2134333333333327,0.11119802371541354,-2.7712039655259346,0,1,0,0,0,25,0.5,0.0,0
South Africa,Morocco,-237.9297274801106,1631.2791217953445,1869.2088492754551,-0.3418512773973996,-0.5017411674223304,0.5556227635910154,-9,-0.19811058627396494,-0.9815391304347827,-0.4025999999999996,-1.2533249999999985,-1.127299999999999,-0.8353333333333346,-0.05898814229249183,-2.3616890989296415,0,1,0,0,1,9,0.5,0.125,4
South Africa,Haiti,-67.43973324696503,1631.2791217953445,1698.7188550423095,-0.01933046102041508,-0.5004301882886091,-0.23224899904684437,5,-0.0423728813559322,0.2396565217391302,1.2944000000000004,-0.14654999999999951,0.212225000000001,0.07026666666666515,-0.08381106719367715,-0.5664453230831263,0,1,0,0,0,4,0.5,0.0,0
