date,home_team,away_team,home_goals,away_goals,outcome,match_type,tournament_name,neutral_venue,home_elo_before,away_elo_before
2018-03-24,Comoros,Kenya,2.0,2.0,D,Friendly,Friendly,True,1500.0,1500.0
2018-03-24,Botswana,Lesotho,1.0,0.0,H,Friendly,Friendly,False,1500.0,1500.0
2018-03-24,Armenia,Estonia,0.0,0.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-03-24,Angola,Zimbabwe,2.0,2.0,D,Friendly,Friendly,True,1500.0,1501.792831997477
2018-03-24,Kosovo,Madagascar,1.0,0.0,H,Friendly,Friendly,True,1500.0,1500.0
2018-03-25,Kuwait,Cameroon,1.0,3.0,A,Friendly,Friendly,False,1495.2836398846114,1500.0
2018-03-25,Thailand,Slovakia,2.0,3.0,A,Friendly,Friendly,False,1498.207168002523,1506.4135632520677
2018-03-25,Nicaragua,Cuba,3.0,3.0,D,Friendly,Friendly,False,1506.9107520037846,1493.0892479962154
2018-03-25,Martinique,Trinidad and Tobago,0.0,0.0,D,Friendly,Friendly,False,1500.0,1508.192831997477
2018-03-25,Yorkshire,Chagos Islands,6.0,0.0,H,Friendly,Friendly,False,1498.207168002523,1500.0
2018-03-25,Jamaica,Antigua and Barbuda,1.0,1.0,D,Friendly,Friendly,False,1500.1178790241013,1504.6071680025232
2018-03-25,Faroe Islands,Liechtenstein,3.0,0.0,H,Friendly,Friendly,True,1499.8842516921204,1493.6
2018-03-25,Dominican Republic,Saint Kitts and Nevis,2.0,1.0,H,Friendly,Friendly,False,1508.6384400047307,1500.0
2018-03-25,Barbados,Bermuda,0.0,0.0,D,Friendly,Friendly,False,1500.0,1495.3928319974768
2018-03-25,Gibraltar,Latvia,1.0,0.0,H,Friendly,Friendly,False,1500.0,1493.83145664327
2018-03-26,Portugal,Netherlands,0.0,3.0,A,Friendly,Friendly,True,1506.4,1491.807168002523
2018-03-26,Finland,Malta,5.0,0.0,H,Friendly,Friendly,True,1506.2821209758988,1491.807168002523
2018-03-26,Curaçao,Bolivia,1.0,0.0,H,Friendly,Friendly,False,1498.207168002523,1501.792831997477
2018-03-26,Wales,Uruguay,0.0,1.0,A,Friendly,Friendly,True,1517.4097679946385,1509.6
2018-03-26,Bulgaria,Kazakhstan,2.0,1.0,H,Friendly,Friendly,True,1491.7286982384321,1508.192831997477
2018-03-26,Albania,Norway,0.0,1.0,A,Friendly,Friendly,False,1500.0,1508.0625440044155
2018-03-26,China PR,Czechia,1.0,4.0,A,Friendly,Friendly,False,1482.5902320053615,1490.4
2018-03-27,Russia,France,1.0,3.0,A,Friendly,Friendly,False,1485.6625440044154,1491.807168002523
2018-03-27,Montenegro,Türkiye,2.0,2.0,D,Friendly,Friendly,False,1501.792831997477,1504.6071680025232
2018-03-27,Morocco,Uzbekistan,2.0,0.0,H,Friendly,Friendly,False,1506.4,1500.0
2018-03-27,Namibia,Lesotho,2.0,1.0,H,Friendly,Friendly,False,1500.0,1495.3928319974768
2018-03-27,Oman,Palestine,1.0,0.0,H,Tournament,AFC Asian Cup qualification,False,1515.263693206478,1501.5178767627397
2018-03-27,Peru,Iceland,3.0,1.0,H,Friendly,Friendly,True,1509.6,1518.706053221844
2018-03-27,Philippines,Tajikistan,2.0,1.0,H,Tournament,AFC Asian Cup qualification,False,1504.6071680025232,1500.0
2018-03-27,Mongolia,Mauritius,0.0,2.0,A,Friendly,Friendly,False,1501.792831997477,1508.192831997477
2018-03-27,Poland,South Korea,3.0,2.0,H,Friendly,Friendly,False,1491.807168002523,1507.743839225346
2018-03-27,Romania,Sweden,1.0,0.0,H,Friendly,Friendly,False,1508.192831997477,1498.0990968814124
2018-03-27,Serbia,Nigeria,2.0,0.0,H,Friendly,Friendly,True,1493.6,1508.192831997477
2018-03-27,Taiwan,Singapore,1.0,0.0,H,Tournament,AFC Asian Cup qualification,False,1500.0,1504.6071680025232
2018-03-27,Slovenia,Belarus,0.0,2.0,A,Friendly,Friendly,False,1491.9374559955845,1508.1908307922886
2018-03-27,Spain,Argentina,6.0,1.0,H,Friendly,Friendly,False,1501.792831997477,1509.6
2018-03-27,Switzerland,Panama,6.0,0.0,H,Friendly,Friendly,False,1508.192831997477,1495.2836398846114
2018-03-27,Tanzania,DR Congo,2.0,0.0,H,Friendly,Friendly,False,1491.9374559955845,1500.0
2018-03-27,Tunisia,Costa Rica,1.0,0.0,H,Friendly,Friendly,True,1504.7548047544044,1508.192831997477
2018-03-27,Uganda,Malawi,0.0,0.0,D,Friendly,Friendly,False,1506.9107520037846,1500.0
2018-03-27,Ukraine,Japan,2.0,1.0,H,Friendly,Friendly,True,1499.992242884778,1500.0
2018-03-27,USA,Paraguay,1.0,0.0,H,Friendly,Friendly,False,1498.207168002523,1500.0
2018-03-27,Yemen,Nepal,2.0,1.0,H,Tournament,AFC Asian Cup qualification,True,1500.0,1500.0
2018-03-27,Moldova,Ivory Coast,1.0,2.0,A,Friendly,Friendly,True,1485.8409943897964,1500.0
2018-03-27,Seychelles,Eswatini,0.0,0.0,D,Friendly,Friendly,False,1500.0,1500.0
2018-03-27,Mexico,Croatia,0.0,1.0,A,Friendly,Friendly,True,1518.413601205191,1490.4
2018-03-27,Greece,Egypt,1.0,0.0,H,Friendly,Friendly,True,1491.807168002523,1493.6
2018-03-27,Luxembourg,Austria,0.0,4.0,A,Friendly,Friendly,False,1508.192831997477,1508.0625440044155
2018-03-27,Afghanistan,Cambodia,2.0,1.0,H,Tournament,AFC Asian Cup qualification,True,1500.0,1508.192831997477
2018-03-27,Algeria,Iran,1.0,2.0,A,Friendly,Friendly,True,1508.0625440044155,1503.8836352503263
2018-03-27,Armenia,Lithuania,0.0,1.0,A,Friendly,Friendly,False,1498.207168002523,1491.3615599952693
2018-03-27,Australia,Colombia,0.0,0.0,D,Friendly,Friendly,True,1491.9374559955845,1508.192831997477
2018-03-27,Azerbaijan,North Macedonia,1.0,1.0,D,Friendly,Friendly,True,1491.6912901836101,1500.1178790241013
2018-03-27,Bahrain,Turkmenistan,4.0,0.0,H,Tournament,AFC Asian Cup qualification,False,1482.4821232372603,1500.0
2018-03-27,Belgium,Saudi Arabia,4.0,0.0,H,Friendly,Friendly,False,1500.0,1499.5866478669595
2018-03-27,Bosnia and Herzegovina,Senegal,0.0,0.0,D,Friendly,Friendly,True,1503.631108866315,1500.0
2018-03-27,Myanmar,Macau,1.0,0.0,H,Tournament,AFC Asian Cup qualification,False,1470.0,1491.807168002523
2018-03-27,Central African Republic,Kenya,3.0,2.0,H,Friendly,Friendly,True,1501.792831997477,1500.0
2018-03-27,Denmark,Chile,0.0,0.0,D,Friendly,Friendly,False,1498.3163601153885,1508.3009031185877
2018-03-27,Maldives,Bhutan,7.0,0.0,H,Tournament,AFC Asian Cup qualification,False,1495.3928319974768,1500.0
2018-03-27,Georgia,Estonia,2.0,0.0,H,Friendly,Friendly,False,1508.6384400047307,1501.792831997477
2018-03-27,Germany,Brazil,0.0,1.0,A,Friendly,Friendly,False,1498.207168002523,1514.3374559955846
2018-03-27,England,Italy,1.0,1.0,D,Friendly,Friendly,False,1508.192831997477,1490.4
2018-03-27,Hungary,Scotland,0.0,1.0,A,Friendly,Friendly,False,1491.807168002523,1491.807168002523
2018-03-27,Iraq,Syria,1.0,1.0,D,Friendly,Friendly,False,1499.9652647084793,1500.1534651201127
2018-03-27,Jordan,Vietnam,1.0,1.0,D,Tournament,AFC Asian Cup qualification,False,1498.3163601153885,1500.0
2018-03-27,North Korea,Hong Kong,2.0,0.0,H,Tournament,AFC Asian Cup qualification,False,1500.0,1500.0
